UserID,Role,KnownSkills,RequiredSkills,RoleDescription
U100038,Business Analyst,Tableau,"Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100039,UI/UX Designer,"Figma, Wireframing, Prototyping, User Research, Sketch","Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100040,Product Manager,Stakeholder Communication,"Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100041,Cloud Engineer,"IAM, Docker, Linux, CloudFormation, Azure","AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100042,UI/UX Designer,Prototyping,"Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100043,Frontend Developer,"CSS, HTML, TypeScript","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100044,Blockchain Developer,"Truffle, Web3.js, Smart Contracts, Ethereum, Solidity","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100045,Product Manager,User Stories,"Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100046,Mobile App Developer,"Flutter, Kotlin, Xcode","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100047,AI Engineer,"Python, NLP, TensorFlow, Computer Vision","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100048,Business Analyst,"Business Strategy, Power BI, Stakeholder Management","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100049,Site Reliability Engineer,"Incident Management, Grafana, Prometheus, Kubernetes, Monitoring","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100050,Data Engineer,"Airflow, Apache Spark, Hadoop","SQL, ETL, Apache Spark, Hadoop, Python, Airflow","Data Engineer is responsible for key tasks in software engineering involving SQL, ETL, Apache Spark and more."
U100051,Cybersecurity Analyst,Python,"Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100052,Machine Learning Engineer,MLflow,"Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100053,AI Engineer,Neural Networks,"Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100054,Site Reliability Engineer,"Incident Management, Monitoring","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100055,Game Developer,"Unity, C#, Game Physics","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100056,Mobile App Developer,"React Native, Kotlin","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100057,Cybersecurity Analyst,Firewalls,"Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100058,Data Scientist,"Python, Scikit-learn, Matplotlib, Pandas, SQL","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100059,Full Stack Developer,"MongoDB, Express.js","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100060,Business Analyst,SQL,"Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100061,Full Stack Developer,MongoDB,"JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100062,DevOps Engineer,Docker,"Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100063,Product Manager,"Wireframing, Roadmapping, Stakeholder Communication","Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100064,Scrum Master,"Jira, Team Facilitation, Agile, Retrospectives","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100065,Business Analyst,"Business Strategy, Tableau, Stakeholder Management","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100066,QA Engineer,"Selenium, Automation, Manual Testing","Selenium, Postman, TestNG, JUnit, Automation, Manual Testing","QA Engineer is responsible for key tasks in software engineering involving Selenium, Postman, TestNG and more."
U100067,Cybersecurity Analyst,"Firewalls, Network Security, SIEM","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100068,Business Analyst,"SQL, Power BI, Excel, Stakeholder Management, Business Strategy","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100069,Blockchain Developer,"Web3.js, Truffle, Smart Contracts, Crypto Wallets, Ethereum","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100070,Full Stack Developer,"MongoDB, JavaScript","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100071,Blockchain Developer,"Solidity, Web3.js","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100072,Cybersecurity Analyst,"Encryption, Threat Analysis","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100073,Data Engineer,"ETL, Python, Apache Spark, Hadoop","SQL, ETL, Apache Spark, Hadoop, Python, Airflow","Data Engineer is responsible for key tasks in software engineering involving SQL, ETL, Apache Spark and more."
U100074,Game Developer,"Unity, 3D Modeling, Unreal Engine","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100075,Cloud Engineer,Docker,"AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100076,UI/UX Designer,"Adobe XD, Sketch, Wireframing","Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100077,Database Administrator,"MongoDB, SQL, Backup & Recovery","SQL, Oracle, Backup & Recovery, Performance Tuning, MySQL, MongoDB","Database Administrator is responsible for key tasks in software engineering involving SQL, Oracle, Backup & Recovery and more."
U100078,Game Developer,"Unity, 3D Modeling, Game Physics, Unreal Engine","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100079,DevOps Engineer,"Linux, AWS, Kubernetes, Docker","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100080,DevOps Engineer,"Docker, Linux, Kubernetes, AWS","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100081,Cloud Engineer,"Linux, Docker, IAM","AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100082,Scrum Master,"Agile, Jira","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100083,AI Engineer,"Python, Computer Vision, Neural Networks, TensorFlow","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100084,AI Engineer,"Neural Networks, NLP, Computer Vision, Python","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100085,Product Manager,User Stories,"Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100086,Cloud Engineer,"Docker, Linux, AWS","AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100087,Business Analyst,Excel,"Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100088,AI Engineer,"Neural Networks, Python","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100089,Product Manager,"Stakeholder Communication, Roadmapping","Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100090,DevOps Engineer,"Kubernetes, Terraform, Linux, CI/CD","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100091,DevOps Engineer,"Terraform, Kubernetes","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100092,Data Scientist,Matplotlib,"Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100093,Game Developer,"Game Physics, C#, Unity","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100094,Cloud Engineer,"Linux, IAM, CloudFormation, AWS, Azure","AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100095,Full Stack Developer,Express.js,"JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100096,Frontend Developer,HTML,"HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100097,Game Developer,"C#, Unity, 3D Modeling","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100098,Business Analyst,Power BI,"Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100099,Cloud Engineer,"CloudFormation, Docker","AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100100,Mobile App Developer,"Swift, Flutter, React Native, Java, Kotlin","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100101,Data Scientist,"Matplotlib, SQL, Pandas, TensorFlow","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100102,Backend Developer,Java,"Java, Spring Boot, SQL, REST APIs, Hibernate, PostgreSQL","Backend Developer is responsible for key tasks in software engineering involving Java, Spring Boot, SQL and more."
U100103,DevOps Engineer,AWS,"Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100104,Mobile App Developer,"Xcode, Flutter, Swift, Java, React Native","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100105,Blockchain Developer,"Smart Contracts, Ethereum, Solidity, Crypto Wallets","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100106,UI/UX Designer,User Research,"Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100107,Machine Learning Engineer,"PyTorch, TensorFlow, Python, Scikit-learn, Model Deployment","Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100108,Business Analyst,"SQL, Business Strategy","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100109,Data Scientist,Scikit-learn,"Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100110,Full Stack Developer,"Express.js, React, Node.js, MongoDB","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100111,UI/UX Designer,User Research,"Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100112,Database Administrator,Backup & Recovery,"SQL, Oracle, Backup & Recovery, Performance Tuning, MySQL, MongoDB","Database Administrator is responsible for key tasks in software engineering involving SQL, Oracle, Backup & Recovery and more."
U100113,Data Scientist,"SQL, TensorFlow, Python, Pandas","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100114,Business Analyst,Tableau,"Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100115,Data Scientist,Python,"Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100116,Product Manager,Analytics,"Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100117,QA Engineer,"Selenium, JUnit","Selenium, Postman, TestNG, JUnit, Automation, Manual Testing","QA Engineer is responsible for key tasks in software engineering involving Selenium, Postman, TestNG and more."
U100118,Business Analyst,Power BI,"Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100119,Blockchain Developer,"Smart Contracts, Crypto Wallets, Web3.js, Truffle, Solidity","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100120,Mobile App Developer,Java,"Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100121,Full Stack Developer,Express.js,"JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100122,Product Manager,"Wireframing, User Stories","Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100123,Cybersecurity Analyst,"Python, Network Security, Firewalls, Encryption","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100124,Business Analyst,"Stakeholder Management, Business Strategy, Excel, SQL","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100125,Mobile App Developer,"Java, Kotlin, React Native, Swift, Flutter","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100126,Site Reliability Engineer,"Prometheus, SLAs, Incident Management, Monitoring, Grafana","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100127,Scrum Master,"Retrospectives, Scrum, Jira, Agile","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100128,Machine Learning Engineer,"Scikit-learn, MLflow, Model Deployment, PyTorch","Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100129,Game Developer,"C#, Blender, 3D Modeling, Game Physics, Unity","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100130,DevOps Engineer,Kubernetes,"Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100131,Data Engineer,"Python, Apache Spark, Airflow, ETL, SQL","SQL, ETL, Apache Spark, Hadoop, Python, Airflow","Data Engineer is responsible for key tasks in software engineering involving SQL, ETL, Apache Spark and more."
U100132,Cybersecurity Analyst,"SIEM, Threat Analysis, Network Security, Python","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100133,Cybersecurity Analyst,"Threat Analysis, Network Security, SIEM","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100134,Business Analyst,Excel,"Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100135,AI Engineer,"NLP, Deep Learning, TensorFlow","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100136,Game Developer,"3D Modeling, C#, Unity, Game Physics, Unreal Engine","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
